VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	12:54:42	03/08/2017

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
03/08/2017	12:54:42.5	     0.596	     0.972
03/08/2017	12:54:43.0	     0.596	     0.986
03/08/2017	12:54:43.5	     0.596	     0.986
03/08/2017	12:54:44.0	     0.596	     0.986
03/08/2017	12:54:44.5	     0.595	     0.986
03/08/2017	12:54:45.0	     0.595	     0.986
03/08/2017	12:54:45.5	     0.595	     0.986
03/08/2017	12:54:46.0	     0.595	     0.985
03/08/2017	12:54:46.5	     0.595	     0.984
03/08/2017	12:54:47.0	     0.595	     0.984
03/08/2017	12:54:47.5	     0.595	     0.985
03/08/2017	12:54:48.0	     0.595	     0.983
03/08/2017	12:54:48.5	     0.595	     0.984
03/08/2017	12:54:49.0	     0.595	     0.984
03/08/2017	12:54:49.5	     0.595	     0.985
03/08/2017	12:54:50.0	     0.595	     0.985
03/08/2017	12:54:50.5	     0.595	     0.985
03/08/2017	12:54:51.0	     0.595	     0.985
03/08/2017	12:54:51.5	     0.595	     0.985
03/08/2017	12:54:52.0	     0.595	     0.984
03/08/2017	12:54:52.5	     0.595	     0.982
03/08/2017	12:54:53.0	     0.595	     0.984
03/08/2017	12:54:53.5	     0.595	     0.984
03/08/2017	12:54:54.0	     0.595	     0.984
03/08/2017	12:54:54.5	     0.595	     0.983
03/08/2017	12:54:55.0	     0.595	     0.983
03/08/2017	12:54:55.5	     0.595	     0.983
03/08/2017	12:54:56.0	     0.595	     0.983
03/08/2017	12:54:56.5	     0.595	     0.913
03/08/2017	12:54:57.0	     0.595	     0.802
03/08/2017	12:54:57.5	     0.595	     0.650
03/08/2017	12:54:58.0	     0.595	     0.725
03/08/2017	12:54:58.5	     0.595	     0.732
03/08/2017	12:54:59.0	     0.595	     0.737
03/08/2017	12:54:59.5	     0.595	     0.748
03/08/2017	12:55:00.0	     0.595	     0.751
03/08/2017	12:55:00.5	     0.595	     0.753
03/08/2017	12:55:01.0	     0.595	     0.756
03/08/2017	12:55:01.5	     0.595	     0.778
03/08/2017	12:55:02.0	     0.595	     0.776
03/08/2017	12:55:02.5	     0.595	     0.792
03/08/2017	12:55:03.0	     0.595	     0.805
03/08/2017	12:55:03.5	     0.595	     0.819
03/08/2017	12:55:04.0	     0.595	     0.829
03/08/2017	12:55:04.5	     0.595	     0.849
03/08/2017	12:55:05.0	     0.595	     0.859
03/08/2017	12:55:05.5	     0.595	     0.840
03/08/2017	12:55:06.0	     0.595	     0.848
03/08/2017	12:55:06.5	     0.595	     0.855
03/08/2017	12:55:07.0	     0.595	     0.844
03/08/2017	12:55:07.5	     0.595	     0.787
03/08/2017	12:55:08.0	     0.595	     0.785
03/08/2017	12:55:08.5	     0.595	     0.791
03/08/2017	12:55:09.0	     0.595	     0.783
03/08/2017	12:55:09.5	     0.595	     0.790
03/08/2017	12:55:10.0	     0.595	     0.776
03/08/2017	12:55:10.5	     0.595	     0.772
03/08/2017	12:55:11.0	     0.595	     0.798
03/08/2017	12:55:11.5	     0.595	     0.789
03/08/2017	12:55:12.0	     0.595	     0.796
03/08/2017	12:55:12.5	     0.595	     0.799
03/08/2017	12:55:13.0	     0.595	     0.822
03/08/2017	12:55:13.5	     0.595	     0.833
03/08/2017	12:55:14.0	     0.595	     0.858
03/08/2017	12:55:14.5	     0.595	     0.867
03/08/2017	12:55:15.0	     0.595	     0.894
03/08/2017	12:55:15.5	     0.595	     0.938
03/08/2017	12:55:16.0	     0.595	     0.990
03/08/2017	12:55:16.5	     0.595	     1.027
03/08/2017	12:55:17.0	     0.595	     1.010
03/08/2017	12:55:17.5	     0.595	     1.010
03/08/2017	12:55:18.0	     0.595	     1.015
03/08/2017	12:55:18.5	     0.595	     1.023
03/08/2017	12:55:19.0	     0.595	     1.054
03/08/2017	12:55:19.5	     0.595	     1.067
03/08/2017	12:55:20.0	     0.595	     1.071
03/08/2017	12:55:20.5	     0.595	     1.085
03/08/2017	12:55:21.0	     0.595	     1.080
03/08/2017	12:55:21.5	     0.595	     1.066
03/08/2017	12:55:22.0	     0.595	     1.073
03/08/2017	12:55:22.5	     0.595	     1.135
