VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	15:32:13	03/08/2017

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
03/08/2017	15:32:13.4	     0.598	     0.990
03/08/2017	15:32:13.9	     0.598	     1.001
03/08/2017	15:32:14.4	     0.598	     0.999
03/08/2017	15:32:14.9	     0.598	     0.999
03/08/2017	15:32:15.4	     0.598	     0.998
03/08/2017	15:32:15.9	     0.598	     0.996
03/08/2017	15:32:16.4	     0.598	     0.997
03/08/2017	15:32:16.9	     0.598	     0.997
03/08/2017	15:32:17.4	     0.598	     0.997
03/08/2017	15:32:17.9	     0.598	     0.997
03/08/2017	15:32:18.4	     0.598	     0.998
03/08/2017	15:32:18.9	     0.598	     0.997
03/08/2017	15:32:19.4	     0.598	     0.998
03/08/2017	15:32:19.9	     0.598	     0.997
03/08/2017	15:32:20.4	     0.598	     0.995
03/08/2017	15:32:20.9	     0.598	     0.994
03/08/2017	15:32:21.4	     0.598	     0.995
03/08/2017	15:32:21.9	     0.598	     0.996
03/08/2017	15:32:22.4	     0.598	     0.995
03/08/2017	15:32:22.9	     0.598	     0.839
03/08/2017	15:32:23.4	     0.598	     0.775
03/08/2017	15:32:23.9	     0.598	     0.647
03/08/2017	15:32:24.4	     0.598	     0.688
03/08/2017	15:32:24.9	     0.598	     0.695
03/08/2017	15:32:25.4	     0.598	     0.694
03/08/2017	15:32:25.9	     0.598	     0.695
03/08/2017	15:32:26.4	     0.598	     0.693
03/08/2017	15:32:26.9	     0.598	     0.697
03/08/2017	15:32:27.4	     0.598	     0.707
03/08/2017	15:32:27.9	     0.598	     0.706
03/08/2017	15:32:28.4	     0.598	     0.720
03/08/2017	15:32:28.9	     0.598	     0.743
03/08/2017	15:32:29.4	     0.598	     0.786
03/08/2017	15:32:29.9	     0.598	     0.777
03/08/2017	15:32:30.4	     0.598	     0.805
03/08/2017	15:32:30.9	     0.598	     0.813
03/08/2017	15:32:31.4	     0.598	     0.825
03/08/2017	15:32:31.9	     0.598	     0.832
03/08/2017	15:32:32.4	     0.598	     0.850
03/08/2017	15:32:32.9	     0.598	     0.854
03/08/2017	15:32:33.4	     0.598	     0.821
03/08/2017	15:32:33.9	     0.598	     0.855
03/08/2017	15:32:34.4	     0.598	     0.836
03/08/2017	15:32:34.9	     0.598	     0.864
03/08/2017	15:32:35.4	     0.598	     0.825
03/08/2017	15:32:35.9	     0.597	     0.817
03/08/2017	15:32:36.4	     0.597	     0.808
03/08/2017	15:32:36.9	     0.597	     0.811
03/08/2017	15:32:37.4	     0.597	     0.806
03/08/2017	15:32:37.9	     0.598	     0.816
03/08/2017	15:32:38.4	     0.598	     0.816
03/08/2017	15:32:38.9	     0.598	     0.804
03/08/2017	15:32:39.4	     0.598	     0.820
03/08/2017	15:32:39.9	     0.598	     0.836
03/08/2017	15:32:40.4	     0.598	     0.839
03/08/2017	15:32:40.9	     0.598	     0.867
03/08/2017	15:32:41.4	     0.598	     0.887
03/08/2017	15:32:41.9	     0.598	     0.901
03/08/2017	15:32:42.4	     0.598	     0.925
03/08/2017	15:32:42.9	     0.598	     0.936
03/08/2017	15:32:43.4	     0.598	     0.948
03/08/2017	15:32:43.9	     0.598	     0.960
03/08/2017	15:32:44.4	     0.598	     0.972
03/08/2017	15:32:44.9	     0.598	     0.990
03/08/2017	15:32:45.4	     0.598	     1.002
03/08/2017	15:32:45.9	     0.598	     1.017
03/08/2017	15:32:46.4	     0.598	     1.006
03/08/2017	15:32:46.9	     0.597	     1.037
03/08/2017	15:32:47.4	     0.597	     1.096
03/08/2017	15:32:47.9	     0.597	     1.166
03/08/2017	15:32:48.4	     0.597	     1.176
03/08/2017	15:32:48.9	     0.598	     1.158
03/08/2017	15:32:49.4	     0.598	     1.139
03/08/2017	15:32:49.9	     0.598	     1.115
03/08/2017	15:32:50.4	     0.598	     1.073
03/08/2017	15:32:50.9	     0.598	     1.043
03/08/2017	15:32:51.4	     0.598	     1.022
03/08/2017	15:32:51.9	     0.598	     1.017
03/08/2017	15:32:52.4	     0.598	     1.007
03/08/2017	15:32:52.9	     0.598	     1.048
03/08/2017	15:32:53.4	     0.598	     1.098
03/08/2017	15:32:53.9	     0.598	     1.155
03/08/2017	15:32:54.4	     0.598	     1.170
03/08/2017	15:32:54.9	     0.598	     1.175
03/08/2017	15:32:55.4	     0.598	     1.178
03/08/2017	15:32:55.9	     0.598	     1.180
03/08/2017	15:32:56.4	     0.598	     1.181
03/08/2017	15:32:56.9	     0.598	     1.181
03/08/2017	15:32:57.4	     0.598	     1.181
03/08/2017	15:32:57.9	     0.598	     1.181
03/08/2017	15:32:58.4	     0.598	     1.180
03/08/2017	15:32:58.9	     0.598	     1.180
03/08/2017	15:32:59.4	     0.598	     1.180
03/08/2017	15:32:59.9	     0.598	     1.180
03/08/2017	15:33:00.4	     0.598	     1.179
03/08/2017	15:33:00.9	     0.598	     1.180
03/08/2017	15:33:01.4	     0.598	     1.180
03/08/2017	15:33:01.9	     0.598	     1.180
03/08/2017	15:33:02.4	     0.598	     1.181
03/08/2017	15:33:02.9	     0.598	     1.181
03/08/2017	15:33:03.4	     0.598	     1.181
03/08/2017	15:33:03.9	     0.598	     1.180
03/08/2017	15:33:04.4	     0.598	     1.179
03/08/2017	15:33:04.9	     0.598	     1.180
03/08/2017	15:33:05.4	     0.597	     1.180
03/08/2017	15:33:05.9	     0.597	     1.180
03/08/2017	15:33:06.4	     0.597	     1.179
03/08/2017	15:33:06.9	     0.597	     1.179
03/08/2017	15:33:07.4	     0.598	     1.179
03/08/2017	15:33:07.9	     0.598	     1.179
03/08/2017	15:33:08.4	     0.598	     1.179
03/08/2017	15:33:08.9	     0.598	     1.177
03/08/2017	15:33:09.4	     0.598	     1.177
03/08/2017	15:33:09.9	     0.598	     1.177
03/08/2017	15:33:10.4	     0.598	     1.177
03/08/2017	15:33:10.9	     0.598	     1.177
03/08/2017	15:33:11.4	     0.598	     1.174
03/08/2017	15:33:11.9	     0.598	     1.173
03/08/2017	15:33:12.4	     0.598	     1.174
03/08/2017	15:33:12.9	     0.598	     1.172
03/08/2017	15:33:13.4	     0.598	     1.173
03/08/2017	15:33:13.9	     0.598	     1.172
03/08/2017	15:33:14.4	     0.598	     1.169
03/08/2017	15:33:14.9	     0.598	     1.169
03/08/2017	15:33:15.4	     0.598	     1.168
03/08/2017	15:33:15.9	     0.598	     1.169
03/08/2017	15:33:16.4	     0.598	     1.168
03/08/2017	15:33:16.9	     0.598	     1.168
03/08/2017	15:33:17.4	     0.598	     1.167
03/08/2017	15:33:17.9	     0.598	     1.167
03/08/2017	15:33:18.4	     0.598	     1.166
03/08/2017	15:33:18.9	     0.598	     1.163
03/08/2017	15:33:19.4	     0.598	     1.162
03/08/2017	15:33:19.9	     0.598	     1.162
03/08/2017	15:33:20.4	     0.598	     1.162
03/08/2017	15:33:20.9	     0.598	     1.161
03/08/2017	15:33:21.4	     0.598	     1.159
03/08/2017	15:33:21.9	     0.598	     1.158
03/08/2017	15:33:22.4	     0.598	     1.158
03/08/2017	15:33:22.9	     0.598	     1.153
03/08/2017	15:33:23.4	     0.598	     1.152
03/08/2017	15:33:23.9	     0.598	     1.151
03/08/2017	15:33:24.4	     0.598	     1.149
03/08/2017	15:33:24.9	     0.598	     1.148
03/08/2017	15:33:25.4	     0.598	     1.149
03/08/2017	15:33:25.9	     0.598	     1.148
03/08/2017	15:33:26.4	     0.598	     1.147
03/08/2017	15:33:26.9	     0.598	     1.144
03/08/2017	15:33:27.4	     0.598	     1.144
03/08/2017	15:33:27.9	     0.598	     1.143
03/08/2017	15:33:28.4	     0.598	     1.141
03/08/2017	15:33:28.9	     0.598	     1.140
03/08/2017	15:33:29.4	     0.598	     1.139
03/08/2017	15:33:29.9	     0.598	     1.138
03/08/2017	15:33:30.4	     0.598	     1.137
03/08/2017	15:33:30.9	     0.598	     1.135
03/08/2017	15:33:31.4	     0.598	     1.135
03/08/2017	15:33:31.9	     0.598	     1.134
03/08/2017	15:33:32.4	     0.598	     1.133
03/08/2017	15:33:32.9	     0.598	     1.131
03/08/2017	15:33:33.4	     0.598	     1.130
03/08/2017	15:33:33.9	     0.598	     1.129
03/08/2017	15:33:34.4	     0.598	     1.128
03/08/2017	15:33:34.9	     0.598	     1.125
03/08/2017	15:33:35.4	     0.598	     1.125
03/08/2017	15:33:35.9	     0.598	     1.126
03/08/2017	15:33:36.4	     0.598	     1.124
03/08/2017	15:33:36.9	     0.598	     1.121
03/08/2017	15:33:37.4	     0.598	     1.119
03/08/2017	15:33:37.9	     0.598	     1.119
03/08/2017	15:33:38.4	     0.597	     1.119
03/08/2017	15:33:38.9	     0.597	     1.116
03/08/2017	15:33:39.4	     0.597	     1.116
03/08/2017	15:33:39.9	     0.597	     1.115
03/08/2017	15:33:40.4	     0.598	     1.115
03/08/2017	15:33:40.9	     0.598	     1.111
03/08/2017	15:33:41.4	     0.598	     1.111
03/08/2017	15:33:41.9	     0.598	     1.111
03/08/2017	15:33:42.4	     0.598	     1.110
03/08/2017	15:33:42.9	     0.598	     1.110
03/08/2017	15:33:43.4	     0.598	     1.108
03/08/2017	15:33:43.9	     0.598	     1.107
03/08/2017	15:33:44.4	     0.597	     1.105
03/08/2017	15:33:44.9	     0.597	     1.104
03/08/2017	15:33:45.4	     0.597	     1.104
03/08/2017	15:33:45.9	     0.597	     1.104
03/08/2017	15:33:46.4	     0.597	     1.102
03/08/2017	15:33:46.9	     0.597	     1.102
03/08/2017	15:33:47.4	     0.597	     1.100
03/08/2017	15:33:47.9	     0.597	     1.099
03/08/2017	15:33:48.4	     0.597	     1.098
03/08/2017	15:33:48.9	     0.597	     1.095
03/08/2017	15:33:49.4	     0.597	     1.094
03/08/2017	15:33:49.9	     0.597	     1.094
03/08/2017	15:33:50.4	     0.597	     1.091
