VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	13:22:21	03/08/2017

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
03/08/2017	13:22:23.2	     0.596	     0.982
03/08/2017	13:22:23.7	     0.596	     0.994
03/08/2017	13:22:24.2	     0.596	     0.994
03/08/2017	13:22:24.7	     0.596	     0.992
03/08/2017	13:22:25.2	     0.596	     0.992
03/08/2017	13:22:25.7	     0.596	     0.992
03/08/2017	13:22:26.2	     0.596	     0.993
03/08/2017	13:22:26.7	     0.596	     0.993
03/08/2017	13:22:27.2	     0.596	     0.993
03/08/2017	13:22:27.7	     0.596	     0.992
03/08/2017	13:22:28.2	     0.596	     0.990
03/08/2017	13:22:28.7	     0.596	     0.991
03/08/2017	13:22:29.2	     0.596	     0.992
03/08/2017	13:22:29.7	     0.596	     0.992
03/08/2017	13:22:30.2	     0.596	     0.992
03/08/2017	13:22:30.7	     0.596	     0.991
03/08/2017	13:22:31.2	     0.596	     0.794
03/08/2017	13:22:31.7	     0.596	     0.686
03/08/2017	13:22:32.2	     0.596	     0.665
03/08/2017	13:22:32.7	     0.596	     0.714
03/08/2017	13:22:33.2	     0.597	     0.718
03/08/2017	13:22:33.7	     0.597	     0.727
03/08/2017	13:22:34.2	     0.597	     0.731
03/08/2017	13:22:34.7	     0.597	     0.734
03/08/2017	13:22:35.2	     0.597	     0.736
03/08/2017	13:22:35.7	     0.597	     0.740
03/08/2017	13:22:36.2	     0.597	     0.761
03/08/2017	13:22:36.7	     0.597	     0.771
03/08/2017	13:22:37.2	     0.597	     0.770
03/08/2017	13:22:37.7	     0.597	     0.820
03/08/2017	13:22:38.2	     0.597	     0.829
03/08/2017	13:22:38.7	     0.597	     0.814
03/08/2017	13:22:39.2	     0.597	     0.830
03/08/2017	13:22:39.7	     0.597	     0.839
03/08/2017	13:22:40.2	     0.597	     0.840
03/08/2017	13:22:40.7	     0.597	     0.852
03/08/2017	13:22:41.2	     0.597	     0.841
03/08/2017	13:22:41.7	     0.597	     0.825
03/08/2017	13:22:42.2	     0.597	     0.847
03/08/2017	13:22:42.7	     0.597	     0.835
03/08/2017	13:22:43.2	     0.597	     0.856
03/08/2017	13:22:43.7	     0.597	     0.861
03/08/2017	13:22:44.2	     0.597	     0.851
03/08/2017	13:22:44.7	     0.597	     0.818
03/08/2017	13:22:45.2	     0.597	     0.822
03/08/2017	13:22:45.7	     0.597	     0.815
03/08/2017	13:22:46.2	     0.597	     0.810
03/08/2017	13:22:46.7	     0.597	     0.814
03/08/2017	13:22:47.2	     0.597	     0.823
03/08/2017	13:22:47.7	     0.597	     0.827
03/08/2017	13:22:48.2	     0.597	     0.837
03/08/2017	13:22:48.7	     0.597	     0.844
03/08/2017	13:22:49.2	     0.597	     0.849
03/08/2017	13:22:49.7	     0.597	     0.860
03/08/2017	13:22:50.2	     0.597	     0.873
03/08/2017	13:22:50.7	     0.597	     0.879
03/08/2017	13:22:51.2	     0.597	     0.892
03/08/2017	13:22:51.7	     0.597	     0.898
03/08/2017	13:22:52.2	     0.597	     0.911
03/08/2017	13:22:52.7	     0.597	     0.916
03/08/2017	13:22:53.2	     0.597	     0.929
03/08/2017	13:22:53.7	     0.597	     0.941
03/08/2017	13:22:54.2	     0.597	     0.943
03/08/2017	13:22:54.7	     0.597	     0.956
03/08/2017	13:22:55.2	     0.597	     0.974
03/08/2017	13:22:55.7	     0.597	     0.987
03/08/2017	13:22:56.2	     0.597	     0.991
03/08/2017	13:22:56.7	     0.597	     1.003
03/08/2017	13:22:57.2	     0.597	     1.014
03/08/2017	13:22:57.7	     0.597	     1.022
03/08/2017	13:22:58.2	     0.597	     1.022
03/08/2017	13:22:58.7	     0.597	     1.031
03/08/2017	13:22:59.2	     0.597	     1.030
03/08/2017	13:22:59.7	     0.597	     1.042
03/08/2017	13:23:00.2	     0.597	     1.046
03/08/2017	13:23:00.7	     0.597	     1.051
03/08/2017	13:23:01.2	     0.597	     1.060
03/08/2017	13:23:01.7	     0.597	     1.070
03/08/2017	13:23:02.2	     0.597	     1.082
03/08/2017	13:23:02.7	     0.597	     1.089
03/08/2017	13:23:03.2	     0.597	     1.083
03/08/2017	13:23:03.7	     0.597	     1.080
03/08/2017	13:23:04.2	     0.597	     1.090
03/08/2017	13:23:04.7	     0.597	     1.088
03/08/2017	13:23:05.2	     0.597	     1.063
03/08/2017	13:23:05.7	     0.597	     1.070
03/08/2017	13:23:06.2	     0.597	     1.060
03/08/2017	13:23:06.7	     0.597	     1.076
03/08/2017	13:23:07.2	     0.597	     1.100
03/08/2017	13:23:07.7	     0.597	     1.113
03/08/2017	13:23:08.2	     0.597	     1.117
03/08/2017	13:23:08.7	     0.597	     1.121
03/08/2017	13:23:09.2	     0.597	     1.122
03/08/2017	13:23:09.7	     0.597	     1.122
03/08/2017	13:23:10.2	     0.597	     1.123
03/08/2017	13:23:10.7	     0.597	     1.125
03/08/2017	13:23:11.2	     0.597	     1.124
03/08/2017	13:23:11.7	     0.597	     1.125
03/08/2017	13:23:12.2	     0.597	     1.125
03/08/2017	13:23:12.7	     0.597	     1.126
03/08/2017	13:23:13.2	     0.597	     1.127
03/08/2017	13:23:13.7	     0.597	     1.126
03/08/2017	13:23:14.2	     0.597	     1.127
03/08/2017	13:23:14.7	     0.597	     1.128
03/08/2017	13:23:15.2	     0.597	     1.129
03/08/2017	13:23:15.7	     0.597	     1.128
03/08/2017	13:23:16.2	     0.597	     1.128
03/08/2017	13:23:16.7	     0.597	     1.129
03/08/2017	13:23:17.2	     0.597	     1.130
03/08/2017	13:23:17.7	     0.597	     1.130
03/08/2017	13:23:18.2	     0.597	     1.131
03/08/2017	13:23:18.7	     0.597	     1.131
03/08/2017	13:23:19.2	     0.597	     1.133
03/08/2017	13:23:19.7	     0.597	     1.133
03/08/2017	13:23:20.2	     0.597	     1.134
03/08/2017	13:23:20.7	     0.596	     1.136
03/08/2017	13:23:21.2	     0.596	     1.137
03/08/2017	13:23:21.7	     0.596	     1.138
03/08/2017	13:23:22.2	     0.596	     1.138
03/08/2017	13:23:22.7	     0.596	     1.138
03/08/2017	13:23:23.2	     0.596	     1.141
03/08/2017	13:23:23.7	     0.596	     1.142
03/08/2017	13:23:24.2	     0.596	     1.141
03/08/2017	13:23:24.7	     0.596	     1.142
03/08/2017	13:23:25.2	     0.596	     1.143
03/08/2017	13:23:25.7	     0.596	     1.144
03/08/2017	13:23:26.2	     0.596	     1.146
03/08/2017	13:23:26.7	     0.596	     1.145
03/08/2017	13:23:27.2	     0.596	     1.147
03/08/2017	13:23:27.7	     0.596	     1.147
03/08/2017	13:23:28.2	     0.596	     1.147
03/08/2017	13:23:28.7	     0.596	     1.147
03/08/2017	13:23:29.2	     0.596	     1.149
03/08/2017	13:23:29.7	     0.596	     1.149
03/08/2017	13:23:30.2	     0.596	     1.149
03/08/2017	13:23:30.7	     0.596	     1.150
03/08/2017	13:23:31.2	     0.596	     1.150
03/08/2017	13:23:31.7	     0.597	     1.151
03/08/2017	13:23:32.2	     0.597	     1.152
03/08/2017	13:23:32.7	     0.596	     1.152
03/08/2017	13:23:33.2	     0.596	     1.154
03/08/2017	13:23:33.7	     0.595	     1.153
03/08/2017	13:23:34.2	     0.595	     1.153
03/08/2017	13:23:34.7	     0.595	     1.153
03/08/2017	13:23:35.2	     0.595	     1.152
03/08/2017	13:23:35.7	     0.595	     1.151
03/08/2017	13:23:36.2	     0.595	     1.152
03/08/2017	13:23:36.7	     0.596	     1.152
03/08/2017	13:23:37.2	     0.596	     1.152
03/08/2017	13:23:37.7	     0.596	     1.152
03/08/2017	13:23:38.2	     0.596	     1.153
03/08/2017	13:23:38.7	     0.596	     1.152
03/08/2017	13:23:39.2	     0.596	     1.150
03/08/2017	13:23:39.7	     0.596	     1.151
03/08/2017	13:23:40.2	     0.596	     1.151
03/08/2017	13:23:40.7	     0.596	     1.149
03/08/2017	13:23:41.2	     0.596	     1.150
03/08/2017	13:23:41.7	     0.596	     1.150
03/08/2017	13:23:42.2	     0.596	     1.149
03/08/2017	13:23:42.7	     0.596	     1.146
03/08/2017	13:23:43.2	     0.596	     1.146
03/08/2017	13:23:43.7	     0.596	     1.147
03/08/2017	13:23:44.2	     0.596	     1.146
03/08/2017	13:23:44.7	     0.596	     1.146
03/08/2017	13:23:45.2	     0.596	     1.144
03/08/2017	13:23:45.7	     0.596	     1.142
03/08/2017	13:23:46.2	     0.596	     1.142
03/08/2017	13:23:46.7	     0.596	     1.142
03/08/2017	13:23:47.2	     0.596	     1.141
03/08/2017	13:23:47.7	     0.597	     1.140
03/08/2017	13:23:48.2	     0.597	     1.137
03/08/2017	13:23:48.7	     0.597	     1.137
03/08/2017	13:23:49.2	     0.597	     1.135
03/08/2017	13:23:49.7	     0.597	     1.136
03/08/2017	13:23:50.2	     0.597	     1.133
03/08/2017	13:23:50.7	     0.597	     1.132
03/08/2017	13:23:51.2	     0.597	     1.133
03/08/2017	13:23:51.7	     0.597	     1.133
03/08/2017	13:23:52.2	     0.597	     1.133
03/08/2017	13:23:52.7	     0.597	     1.131
03/08/2017	13:23:53.2	     0.597	     1.131
03/08/2017	13:23:53.7	     0.597	     1.131
03/08/2017	13:23:54.2	     0.596	     1.129
03/08/2017	13:23:54.7	     0.596	     1.126
03/08/2017	13:23:55.2	     0.596	     1.126
03/08/2017	13:23:55.7	     0.596	     1.126
03/08/2017	13:23:56.2	     0.596	     1.126
03/08/2017	13:23:56.7	     0.596	     1.124
03/08/2017	13:23:57.2	     0.596	     1.124
03/08/2017	13:23:57.7	     0.596	     1.122
03/08/2017	13:23:58.2	     0.596	     1.119
03/08/2017	13:23:58.7	     0.596	     1.120
03/08/2017	13:23:59.2	     0.596	     1.119
03/08/2017	13:23:59.7	     0.596	     1.120
03/08/2017	13:24:00.2	     0.596	     1.118
03/08/2017	13:24:00.7	     0.596	     1.115
03/08/2017	13:24:01.2	     0.596	     1.113
03/08/2017	13:24:01.7	     0.596	     1.114
03/08/2017	13:24:02.2	     0.596	     1.111
03/08/2017	13:24:02.7	     0.596	     1.110
03/08/2017	13:24:03.2	     0.596	     1.110
03/08/2017	13:24:03.7	     0.596	     1.111
03/08/2017	13:24:04.2	     0.597	     1.110
03/08/2017	13:24:04.7	     0.597	     1.110
03/08/2017	13:24:05.2	     0.597	     1.109
03/08/2017	13:24:05.7	     0.597	     1.108
03/08/2017	13:24:06.2	     0.597	     1.107
03/08/2017	13:24:06.7	     0.597	     1.104
03/08/2017	13:24:07.2	     0.597	     1.104
03/08/2017	13:24:07.7	     0.597	     1.104
03/08/2017	13:24:08.2	     0.597	     1.103
03/08/2017	13:24:08.7	     0.597	     1.100
03/08/2017	13:24:09.2	     0.597	     1.102
03/08/2017	13:24:09.7	     0.597	     1.102
03/08/2017	13:24:10.2	     0.597	     1.102
03/08/2017	13:24:10.7	     0.597	     1.099
03/08/2017	13:24:11.2	     0.596	     1.099
