VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	11:19:59	03/08/2017

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
03/08/2017	11:20:03.7	     0.596	     0.934
03/08/2017	11:20:04.2	     0.596	     0.984
03/08/2017	11:20:04.7	     0.596	     0.985
03/08/2017	11:20:05.2	     0.595	     0.986
03/08/2017	11:20:05.7	     0.595	     0.986
03/08/2017	11:20:06.2	     0.595	     0.987
03/08/2017	11:20:06.7	     0.595	     0.987
03/08/2017	11:20:07.2	     0.595	     0.985
03/08/2017	11:20:07.7	     0.595	     0.984
03/08/2017	11:20:08.2	     0.595	     0.986
03/08/2017	11:20:08.7	     0.595	     0.986
03/08/2017	11:20:09.2	     0.595	     0.986
03/08/2017	11:20:09.7	     0.595	     0.986
03/08/2017	11:20:10.2	     0.595	     0.986
03/08/2017	11:20:10.7	     0.595	     0.986
03/08/2017	11:20:11.2	     0.595	     0.986
03/08/2017	11:20:11.7	     0.595	     0.986
03/08/2017	11:20:12.2	     0.595	     0.986
03/08/2017	11:20:12.7	     0.595	     0.986
03/08/2017	11:20:13.2	     0.595	     0.986
03/08/2017	11:20:13.7	     0.595	     0.986
03/08/2017	11:20:14.2	     0.595	     0.986
03/08/2017	11:20:14.7	     0.595	     0.987
03/08/2017	11:20:15.2	     0.595	     0.986
03/08/2017	11:20:15.7	     0.595	     0.986
03/08/2017	11:20:16.2	     0.595	     0.986
03/08/2017	11:20:16.7	     0.595	     0.986
03/08/2017	11:20:17.2	     0.595	     0.956
03/08/2017	11:20:17.7	     0.595	     0.778
03/08/2017	11:20:18.2	     0.595	     0.649
03/08/2017	11:20:18.7	     0.595	     0.680
03/08/2017	11:20:19.2	     0.595	     0.684
03/08/2017	11:20:19.7	     0.595	     0.687
03/08/2017	11:20:20.2	     0.595	     0.693
03/08/2017	11:20:20.7	     0.595	     0.697
03/08/2017	11:20:21.2	     0.595	     0.700
03/08/2017	11:20:21.7	     0.595	     0.703
03/08/2017	11:20:22.2	     0.595	     0.722
03/08/2017	11:20:22.7	     0.595	     0.768
03/08/2017	11:20:23.2	     0.595	     0.782
03/08/2017	11:20:23.7	     0.595	     0.782
03/08/2017	11:20:24.2	     0.595	     0.829
03/08/2017	11:20:24.7	     0.595	     0.831
03/08/2017	11:20:25.2	     0.595	     0.845
03/08/2017	11:20:25.7	     0.595	     0.840
03/08/2017	11:20:26.2	     0.595	     0.824
03/08/2017	11:20:26.7	     0.595	     0.801
03/08/2017	11:20:27.2	     0.595	     0.800
03/08/2017	11:20:27.7	     0.595	     0.793
03/08/2017	11:20:28.2	     0.595	     0.787
03/08/2017	11:20:28.7	     0.595	     0.771
03/08/2017	11:20:29.2	     0.595	     0.788
03/08/2017	11:20:29.7	     0.595	     0.769
03/08/2017	11:20:30.2	     0.595	     0.771
03/08/2017	11:20:30.7	     0.595	     0.774
03/08/2017	11:20:31.2	     0.595	     0.777
03/08/2017	11:20:31.7	     0.595	     0.808
03/08/2017	11:20:32.2	     0.595	     0.762
03/08/2017	11:20:32.7	     0.595	     0.797
03/08/2017	11:20:33.2	     0.595	     0.801
03/08/2017	11:20:33.7	     0.594	     0.808
03/08/2017	11:20:34.2	     0.594	     0.805
03/08/2017	11:20:34.7	     0.594	     0.864
03/08/2017	11:20:35.2	     0.594	     0.870
03/08/2017	11:20:35.7	     0.594	     0.879
03/08/2017	11:20:36.2	     0.594	     0.898
03/08/2017	11:20:36.7	     0.594	     0.933
03/08/2017	11:20:37.2	     0.594	     0.964
03/08/2017	11:20:37.7	     0.594	     0.980
03/08/2017	11:20:38.2	     0.594	     0.989
03/08/2017	11:20:38.7	     0.594	     1.036
03/08/2017	11:20:39.2	     0.594	     1.040
03/08/2017	11:20:39.7	     0.594	     1.062
03/08/2017	11:20:40.2	     0.594	     1.111
03/08/2017	11:20:40.7	     0.594	     1.078
03/08/2017	11:20:41.2	     0.593	     1.083
03/08/2017	11:20:41.7	     0.593	     1.091
03/08/2017	11:20:42.2	     0.593	     1.064
03/08/2017	11:20:42.7	     0.593	     1.078
03/08/2017	11:20:43.2	     0.593	     1.121
03/08/2017	11:20:43.7	     0.593	     1.147
03/08/2017	11:20:44.2	     0.593	     1.128
03/08/2017	11:20:44.7	     0.593	     1.173
03/08/2017	11:20:45.2	     0.593	     1.210
03/08/2017	11:20:45.7	     0.593	     1.217
03/08/2017	11:20:46.2	     0.593	     1.223
03/08/2017	11:20:46.7	     0.593	     1.222
03/08/2017	11:20:47.2	     0.593	     1.223
03/08/2017	11:20:47.7	     0.593	     1.223
03/08/2017	11:20:48.2	     0.593	     1.222
03/08/2017	11:20:48.7	     0.593	     1.223
03/08/2017	11:20:49.2	     0.594	     1.222
03/08/2017	11:20:49.7	     0.594	     1.222
03/08/2017	11:20:50.2	     0.594	     1.220
03/08/2017	11:20:50.7	     0.594	     1.217
03/08/2017	11:20:51.2	     0.594	     1.218
03/08/2017	11:20:51.7	     0.594	     1.218
03/08/2017	11:20:52.2	     0.594	     1.216
03/08/2017	11:20:52.7	     0.594	     1.217
03/08/2017	11:20:53.2	     0.594	     1.216
03/08/2017	11:20:53.7	     0.595	     1.215
