VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	14:40:32	03/08/2017

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
03/08/2017	14:40:36.1	     0.597	     0.962
03/08/2017	14:40:36.6	     0.597	     0.976
03/08/2017	14:40:37.1	     0.597	     0.977
03/08/2017	14:40:37.6	     0.597	     0.977
03/08/2017	14:40:38.1	     0.597	     0.976
03/08/2017	14:40:38.6	     0.597	     0.977
03/08/2017	14:40:39.1	     0.596	     0.975
03/08/2017	14:40:39.6	     0.596	     0.976
03/08/2017	14:40:40.1	     0.596	     0.975
03/08/2017	14:40:40.6	     0.596	     0.975
03/08/2017	14:40:41.1	     0.596	     0.975
03/08/2017	14:40:41.6	     0.596	     0.975
03/08/2017	14:40:42.1	     0.596	     0.975
03/08/2017	14:40:42.6	     0.596	     0.975
03/08/2017	14:40:43.1	     0.596	     0.975
03/08/2017	14:40:43.6	     0.596	     0.975
03/08/2017	14:40:44.1	     0.596	     0.975
03/08/2017	14:40:44.6	     0.596	     0.975
03/08/2017	14:40:45.1	     0.596	     0.974
03/08/2017	14:40:45.6	     0.596	     0.975
03/08/2017	14:40:46.1	     0.596	     0.974
03/08/2017	14:40:46.6	     0.596	     0.976
03/08/2017	14:40:47.1	     0.596	     0.975
03/08/2017	14:40:47.6	     0.596	     0.974
03/08/2017	14:40:48.1	     0.596	     0.841
03/08/2017	14:40:48.6	     0.596	     0.670
03/08/2017	14:40:49.1	     0.596	     0.654
03/08/2017	14:40:49.6	     0.596	     0.687
03/08/2017	14:40:50.1	     0.596	     0.690
03/08/2017	14:40:50.6	     0.596	     0.696
03/08/2017	14:40:51.1	     0.596	     0.696
03/08/2017	14:40:51.6	     0.596	     0.697
03/08/2017	14:40:52.1	     0.596	     0.699
03/08/2017	14:40:52.6	     0.596	     0.704
03/08/2017	14:40:53.1	     0.596	     0.724
03/08/2017	14:40:53.6	     0.596	     0.744
03/08/2017	14:40:54.1	     0.596	     0.783
03/08/2017	14:40:54.6	     0.596	     0.772
03/08/2017	14:40:55.1	     0.596	     0.810
03/08/2017	14:40:55.6	     0.596	     0.771
03/08/2017	14:40:56.1	     0.596	     0.825
03/08/2017	14:40:56.6	     0.596	     0.833
03/08/2017	14:40:57.1	     0.596	     0.821
03/08/2017	14:40:57.6	     0.596	     0.833
03/08/2017	14:40:58.1	     0.596	     0.829
03/08/2017	14:40:58.6	     0.596	     0.821
03/08/2017	14:40:59.1	     0.596	     0.809
03/08/2017	14:40:59.6	     0.596	     0.810
03/08/2017	14:41:00.1	     0.596	     0.824
03/08/2017	14:41:00.6	     0.596	     0.827
03/08/2017	14:41:01.1	     0.596	     0.813
03/08/2017	14:41:01.6	     0.596	     0.800
03/08/2017	14:41:02.1	     0.596	     0.815
03/08/2017	14:41:02.6	     0.596	     0.828
03/08/2017	14:41:03.1	     0.596	     0.826
03/08/2017	14:41:03.6	     0.596	     0.811
03/08/2017	14:41:04.1	     0.596	     0.810
03/08/2017	14:41:04.6	     0.596	     0.809
03/08/2017	14:41:05.1	     0.596	     0.800
03/08/2017	14:41:05.6	     0.596	     0.819
03/08/2017	14:41:06.1	     0.596	     0.838
03/08/2017	14:41:06.6	     0.596	     0.850
03/08/2017	14:41:07.1	     0.596	     0.861
03/08/2017	14:41:07.6	     0.596	     0.871
03/08/2017	14:41:08.1	     0.596	     0.880
03/08/2017	14:41:08.6	     0.596	     0.887
03/08/2017	14:41:09.1	     0.596	     0.891
03/08/2017	14:41:09.6	     0.596	     0.900
03/08/2017	14:41:10.1	     0.596	     0.893
03/08/2017	14:41:10.6	     0.596	     0.901
03/08/2017	14:41:11.1	     0.596	     0.906
03/08/2017	14:41:11.6	     0.596	     0.919
03/08/2017	14:41:12.1	     0.596	     0.925
03/08/2017	14:41:12.6	     0.596	     0.935
03/08/2017	14:41:13.1	     0.596	     0.946
03/08/2017	14:41:13.6	     0.596	     0.950
03/08/2017	14:41:14.1	     0.596	     0.952
03/08/2017	14:41:14.6	     0.596	     0.974
03/08/2017	14:41:15.1	     0.596	     0.991
03/08/2017	14:41:15.6	     0.596	     1.006
03/08/2017	14:41:16.1	     0.596	     1.026
03/08/2017	14:41:16.6	     0.596	     1.031
03/08/2017	14:41:17.1	     0.596	     1.031
03/08/2017	14:41:17.6	     0.596	     1.022
