VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	14:51:48	03/08/2017

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
03/08/2017	14:51:56.8	     0.599	     0.977
03/08/2017	14:51:57.3	     0.599	     0.991
03/08/2017	14:51:57.8	     0.599	     0.991
03/08/2017	14:51:58.3	     0.598	     0.992
03/08/2017	14:51:58.8	     0.598	     0.992
03/08/2017	14:51:59.3	     0.598	     0.991
03/08/2017	14:51:59.8	     0.598	     0.991
03/08/2017	14:52:00.3	     0.598	     0.990
03/08/2017	14:52:00.8	     0.598	     0.991
03/08/2017	14:52:01.3	     0.598	     0.990
03/08/2017	14:52:01.8	     0.598	     0.990
03/08/2017	14:52:02.3	     0.598	     0.989
03/08/2017	14:52:02.8	     0.598	     0.989
03/08/2017	14:52:03.3	     0.598	     0.989
03/08/2017	14:52:03.8	     0.598	     0.988
03/08/2017	14:52:04.3	     0.598	     0.988
03/08/2017	14:52:04.8	     0.598	     0.988
03/08/2017	14:52:05.3	     0.598	     0.988
03/08/2017	14:52:05.8	     0.598	     0.988
03/08/2017	14:52:06.3	     0.598	     0.988
03/08/2017	14:52:06.8	     0.598	     0.988
03/08/2017	14:52:07.3	     0.598	     0.989
03/08/2017	14:52:07.8	     0.598	     0.983
03/08/2017	14:52:08.3	     0.598	     0.767
03/08/2017	14:52:08.8	     0.598	     0.613
03/08/2017	14:52:09.3	     0.598	     0.690
03/08/2017	14:52:09.8	     0.599	     0.719
03/08/2017	14:52:10.3	     0.599	     0.723
03/08/2017	14:52:10.8	     0.599	     0.726
03/08/2017	14:52:11.3	     0.599	     0.725
03/08/2017	14:52:11.8	     0.599	     0.727
03/08/2017	14:52:12.3	     0.599	     0.728
03/08/2017	14:52:12.8	     0.599	     0.735
03/08/2017	14:52:13.3	     0.599	     0.739
03/08/2017	14:52:13.8	     0.599	     0.742
03/08/2017	14:52:14.3	     0.599	     0.745
03/08/2017	14:52:14.8	     0.599	     0.764
03/08/2017	14:52:15.3	     0.599	     0.764
03/08/2017	14:52:15.8	     0.599	     0.821
03/08/2017	14:52:16.3	     0.599	     0.832
03/08/2017	14:52:16.8	     0.599	     0.864
03/08/2017	14:52:17.3	     0.599	     0.837
03/08/2017	14:52:17.8	     0.599	     0.766
03/08/2017	14:52:18.3	     0.599	     0.777
03/08/2017	14:52:18.8	     0.599	     0.820
03/08/2017	14:52:19.3	     0.599	     0.815
03/08/2017	14:52:19.8	     0.599	     0.820
03/08/2017	14:52:20.3	     0.599	     0.795
03/08/2017	14:52:20.8	     0.599	     0.803
03/08/2017	14:52:21.3	     0.599	     0.804
03/08/2017	14:52:21.8	     0.599	     0.805
03/08/2017	14:52:22.3	     0.599	     0.804
03/08/2017	14:52:22.8	     0.599	     0.799
03/08/2017	14:52:23.3	     0.599	     0.800
03/08/2017	14:52:23.8	     0.598	     0.810
03/08/2017	14:52:24.3	     0.598	     0.830
03/08/2017	14:52:24.8	     0.598	     0.842
03/08/2017	14:52:25.3	     0.598	     0.865
03/08/2017	14:52:25.8	     0.598	     0.908
03/08/2017	14:52:26.3	     0.598	     0.958
03/08/2017	14:52:26.8	     0.598	     1.022
03/08/2017	14:52:27.3	     0.598	     1.046
03/08/2017	14:52:27.8	     0.598	     1.056
03/08/2017	14:52:28.3	     0.599	     1.059
03/08/2017	14:52:28.8	     0.599	     1.038
03/08/2017	14:52:29.3	     0.599	     1.060
03/08/2017	14:52:29.8	     0.599	     1.072
03/08/2017	14:52:30.3	     0.599	     1.033
03/08/2017	14:52:30.8	     0.599	     1.017
03/08/2017	14:52:31.3	     0.599	     0.993
03/08/2017	14:52:31.8	     0.599	     0.935
03/08/2017	14:52:32.3	     0.599	     0.948
03/08/2017	14:52:32.8	     0.599	     1.079
03/08/2017	14:52:33.3	     0.599	     1.117
03/08/2017	14:52:33.8	     0.599	     1.215
03/08/2017	14:52:34.3	     0.599	     1.237
03/08/2017	14:52:34.8	     0.599	     1.248
03/08/2017	14:52:35.3	     0.599	     1.247
03/08/2017	14:52:35.8	     0.599	     1.249
03/08/2017	14:52:36.3	     0.599	     1.251
03/08/2017	14:52:36.8	     0.599	     1.253
03/08/2017	14:52:37.3	     0.599	     1.249
03/08/2017	14:52:37.8	     0.599	     1.250
03/08/2017	14:52:38.3	     0.599	     1.253
03/08/2017	14:52:38.8	     0.599	     1.253
03/08/2017	14:52:39.3	     0.599	     1.253
03/08/2017	14:52:39.8	     0.599	     1.254
03/08/2017	14:52:40.3	     0.599	     1.254
03/08/2017	14:52:40.8	     0.599	     1.252
03/08/2017	14:52:41.3	     0.599	     1.249
03/08/2017	14:52:41.8	     0.599	     1.250
03/08/2017	14:52:42.3	     0.599	     1.247
03/08/2017	14:52:42.8	     0.599	     1.250
03/08/2017	14:52:43.3	     0.599	     1.251
03/08/2017	14:52:43.8	     0.599	     1.247
03/08/2017	14:52:44.3	     0.599	     1.239
03/08/2017	14:52:44.8	     0.599	     1.235
03/08/2017	14:52:45.3	     0.599	     1.240
03/08/2017	14:52:45.8	     0.599	     1.240
03/08/2017	14:52:46.3	     0.599	     1.239
03/08/2017	14:52:46.8	     0.599	     1.236
03/08/2017	14:52:47.3	     0.599	     1.233
03/08/2017	14:52:47.8	     0.599	     1.235
03/08/2017	14:52:48.3	     0.599	     1.234
03/08/2017	14:52:48.8	     0.599	     1.229
03/08/2017	14:52:49.3	     0.599	     1.226
03/08/2017	14:52:49.8	     0.599	     1.221
03/08/2017	14:52:50.3	     0.599	     1.220
03/08/2017	14:52:50.8	     0.599	     1.221
03/08/2017	14:52:51.3	     0.599	     1.218
03/08/2017	14:52:51.8	     0.599	     1.215
03/08/2017	14:52:52.3	     0.599	     1.212
03/08/2017	14:52:52.8	     0.599	     1.212
03/08/2017	14:52:53.3	     0.599	     1.207
03/08/2017	14:52:53.8	     0.599	     1.207
03/08/2017	14:52:54.3	     0.599	     1.203
03/08/2017	14:52:54.8	     0.599	     1.200
03/08/2017	14:52:55.3	     0.599	     1.199
03/08/2017	14:52:55.8	     0.599	     1.196
03/08/2017	14:52:56.3	     0.599	     1.196
03/08/2017	14:52:56.8	     0.599	     1.193
03/08/2017	14:52:57.3	     0.599	     1.191
03/08/2017	14:52:57.8	     0.599	     1.188
03/08/2017	14:52:58.3	     0.599	     1.186
03/08/2017	14:52:58.8	     0.599	     1.183
03/08/2017	14:52:59.3	     0.599	     1.182
03/08/2017	14:52:59.8	     0.599	     1.179
03/08/2017	14:53:00.3	     0.599	     1.177
03/08/2017	14:53:00.8	     0.599	     1.175
03/08/2017	14:53:01.3	     0.599	     1.173
03/08/2017	14:53:01.8	     0.599	     1.171
03/08/2017	14:53:02.3	     0.599	     1.170
03/08/2017	14:53:02.8	     0.599	     1.168
03/08/2017	14:53:03.3	     0.599	     1.165
03/08/2017	14:53:03.8	     0.599	     1.165
03/08/2017	14:53:04.3	     0.599	     1.162
03/08/2017	14:53:04.8	     0.599	     1.162
03/08/2017	14:53:05.3	     0.599	     1.160
03/08/2017	14:53:05.8	     0.599	     1.157
03/08/2017	14:53:06.3	     0.599	     1.157
03/08/2017	14:53:06.8	     0.599	     1.153
03/08/2017	14:53:07.3	     0.599	     1.152
03/08/2017	14:53:07.8	     0.599	     1.149
03/08/2017	14:53:08.3	     0.599	     1.150
03/08/2017	14:53:08.8	     0.599	     1.148
03/08/2017	14:53:09.3	     0.598	     1.146
03/08/2017	14:53:09.8	     0.598	     1.145
03/08/2017	14:53:10.3	     0.598	     1.144
03/08/2017	14:53:10.8	     0.598	     1.142
03/08/2017	14:53:11.3	     0.598	     1.139
03/08/2017	14:53:11.8	     0.598	     1.138
03/08/2017	14:53:12.3	     0.598	     1.137
03/08/2017	14:53:12.8	     0.598	     1.133
03/08/2017	14:53:13.3	     0.598	     1.132
03/08/2017	14:53:13.8	     0.598	     1.131
03/08/2017	14:53:14.3	     0.598	     1.132
03/08/2017	14:53:14.8	     0.598	     1.128
03/08/2017	14:53:15.3	     0.598	     1.126
03/08/2017	14:53:15.8	     0.598	     1.126
03/08/2017	14:53:16.3	     0.598	     1.125
03/08/2017	14:53:16.8	     0.598	     1.124
03/08/2017	14:53:17.3	     0.598	     1.123
03/08/2017	14:53:17.8	     0.598	     1.121
03/08/2017	14:53:18.3	     0.598	     1.119
03/08/2017	14:53:18.8	     0.598	     1.119
03/08/2017	14:53:19.3	     0.598	     1.119
03/08/2017	14:53:19.8	     0.598	     1.118
03/08/2017	14:53:20.3	     0.597	     1.118
03/08/2017	14:53:20.8	     0.597	     1.116
03/08/2017	14:53:21.3	     0.597	     1.114
03/08/2017	14:53:21.8	     0.597	     1.114
03/08/2017	14:53:22.3	     0.597	     1.113
03/08/2017	14:53:22.8	     0.597	     1.112
03/08/2017	14:53:23.3	     0.597	     1.110
03/08/2017	14:53:23.8	     0.597	     1.106
03/08/2017	14:53:24.3	     0.597	     1.107
03/08/2017	14:53:24.8	     0.597	     1.106
03/08/2017	14:53:25.3	     0.597	     1.106
03/08/2017	14:53:25.8	     0.597	     1.105
03/08/2017	14:53:26.3	     0.597	     1.104
03/08/2017	14:53:26.8	     0.597	     1.103
03/08/2017	14:53:27.3	     0.596	     1.101
03/08/2017	14:53:27.8	     0.596	     1.100
03/08/2017	14:53:28.3	     0.596	     1.101
03/08/2017	14:53:28.8	     0.596	     1.098
03/08/2017	14:53:29.3	     0.596	     1.097
03/08/2017	14:53:29.8	     0.596	     1.095
03/08/2017	14:53:30.3	     0.596	     1.095
03/08/2017	14:53:30.8	     0.596	     1.095
03/08/2017	14:53:31.3	     0.596	     1.093
03/08/2017	14:53:31.8	     0.596	     1.092
03/08/2017	14:53:32.3	     0.596	     1.091
03/08/2017	14:53:32.8	     0.596	     1.090
03/08/2017	14:53:33.3	     0.596	     1.089
03/08/2017	14:53:33.8	     0.596	     1.088
03/08/2017	14:53:34.3	     0.596	     1.088
03/08/2017	14:53:34.8	     0.596	     1.086
03/08/2017	14:53:35.3	     0.596	     1.085
03/08/2017	14:53:35.8	     0.596	     1.083
03/08/2017	14:53:36.3	     0.596	     1.084
03/08/2017	14:53:36.8	     0.596	     1.083
03/08/2017	14:53:37.3	     0.596	     1.082
03/08/2017	14:53:37.8	     0.596	     1.082
03/08/2017	14:53:38.3	     0.596	     1.082
03/08/2017	14:53:38.8	     0.596	     1.078
03/08/2017	14:53:39.3	     0.596	     1.077
03/08/2017	14:53:39.8	     0.596	     1.077
03/08/2017	14:53:40.3	     0.596	     1.077
03/08/2017	14:53:40.8	     0.596	     1.074
03/08/2017	14:53:41.3	     0.596	     1.074
03/08/2017	14:53:41.8	     0.596	     1.074
03/08/2017	14:53:42.3	     0.596	     1.074
03/08/2017	14:53:42.8	     0.595	     1.074
03/08/2017	14:53:43.3	     0.595	     1.073
03/08/2017	14:53:43.8	     0.595	     1.072
03/08/2017	14:53:44.3	     0.595	     1.072
03/08/2017	14:53:44.8	     0.595	     1.071
03/08/2017	14:53:45.3	     0.595	     1.071
03/08/2017	14:53:45.8	     0.595	     1.070
03/08/2017	14:53:46.3	     0.595	     1.070
03/08/2017	14:53:46.8	     0.595	     1.068
03/08/2017	14:53:47.3	     0.595	     1.068
03/08/2017	14:53:47.8	     0.595	     1.067
03/08/2017	14:53:48.3	     0.595	     1.066
03/08/2017	14:53:48.8	     0.595	     1.066
03/08/2017	14:53:49.3	     0.595	     1.065
03/08/2017	14:53:49.8	     0.595	     1.065
03/08/2017	14:53:50.3	     0.595	     1.062
03/08/2017	14:53:50.8	     0.594	     1.061
03/08/2017	14:53:51.3	     0.594	     1.061
03/08/2017	14:53:51.8	     0.594	     1.062
03/08/2017	14:53:52.3	     0.594	     1.061
03/08/2017	14:53:52.8	     0.594	     1.061
03/08/2017	14:53:53.3	     0.594	     1.058
03/08/2017	14:53:53.8	     0.594	     1.057
03/08/2017	14:53:54.3	     0.594	     1.057
03/08/2017	14:53:54.8	     0.594	     1.057
03/08/2017	14:53:55.3	     0.594	     1.057
03/08/2017	14:53:55.8	     0.594	     1.056
03/08/2017	14:53:56.3	     0.594	     1.055
03/08/2017	14:53:56.8	     0.594	     1.055
03/08/2017	14:53:57.3	     0.594	     1.055
03/08/2017	14:53:57.8	     0.593	     1.054
03/08/2017	14:53:58.3	     0.593	     1.053
03/08/2017	14:53:58.8	     0.593	     1.052
03/08/2017	14:53:59.3	     0.593	     1.052
03/08/2017	14:53:59.8	     0.593	     1.051
03/08/2017	14:54:00.3	     0.593	     1.051
03/08/2017	14:54:00.8	     0.593	     1.049
03/08/2017	14:54:01.3	     0.593	     1.049
03/08/2017	14:54:01.8	     0.593	     1.047
03/08/2017	14:54:02.3	     0.593	     1.046
03/08/2017	14:54:02.8	     0.593	     1.045
03/08/2017	14:54:03.3	     0.593	     1.042
03/08/2017	14:54:03.8	     0.593	     1.043
03/08/2017	14:54:04.3	     0.593	     1.042
03/08/2017	14:54:04.8	     0.593	     1.043
03/08/2017	14:54:05.3	     0.593	     1.043
03/08/2017	14:54:05.8	     0.593	     1.042
03/08/2017	14:54:06.3	     0.593	     1.043
03/08/2017	14:54:06.8	     0.593	     1.042
03/08/2017	14:54:07.3	     0.593	     1.041
03/08/2017	14:54:07.8	     0.593	     1.041
03/08/2017	14:54:08.3	     0.593	     1.040
03/08/2017	14:54:08.8	     0.593	     1.041
03/08/2017	14:54:09.3	     0.592	     1.040
03/08/2017	14:54:09.8	     0.592	     1.039
03/08/2017	14:54:10.3	     0.592	     1.039
03/08/2017	14:54:10.8	     0.592	     1.039
03/08/2017	14:54:11.3	     0.592	     1.037
03/08/2017	14:54:11.8	     0.592	     1.036
03/08/2017	14:54:12.3	     0.592	     1.036
03/08/2017	14:54:12.8	     0.592	     1.036
03/08/2017	14:54:13.3	     0.592	     1.035
03/08/2017	14:54:13.8	     0.592	     1.035
03/08/2017	14:54:14.3	     0.592	     1.034
03/08/2017	14:54:14.8	     0.592	     1.034
03/08/2017	14:54:15.3	     0.592	     1.033
03/08/2017	14:54:15.8	     0.592	     1.032
03/08/2017	14:54:16.3	     0.592	     1.032
03/08/2017	14:54:16.8	     0.592	     1.032
03/08/2017	14:54:17.3	     0.592	     1.031
03/08/2017	14:54:17.8	     0.592	     1.030
03/08/2017	14:54:18.3	     0.592	     1.029
03/08/2017	14:54:18.8	     0.592	     1.028
03/08/2017	14:54:19.3	     0.592	     1.028
