VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	16:31:43	03/08/2017

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
03/08/2017	16:31:51.1	     0.600	     0.981
03/08/2017	16:31:51.6	     0.600	     0.992
03/08/2017	16:31:52.1	     0.600	     0.993
03/08/2017	16:31:52.6	     0.600	     0.993
03/08/2017	16:31:53.1	     0.600	     0.993
03/08/2017	16:31:53.6	     0.600	     0.993
03/08/2017	16:31:54.1	     0.600	     0.993
03/08/2017	16:31:54.6	     0.600	     0.993
03/08/2017	16:31:55.1	     0.599	     0.994
03/08/2017	16:31:55.6	     0.599	     0.993
03/08/2017	16:31:56.1	     0.599	     0.993
03/08/2017	16:31:56.6	     0.599	     0.993
03/08/2017	16:31:57.1	     0.599	     0.993
03/08/2017	16:31:57.6	     0.599	     0.993
03/08/2017	16:31:58.1	     0.599	     0.992
03/08/2017	16:31:58.6	     0.599	     0.989
03/08/2017	16:31:59.1	     0.599	     0.990
03/08/2017	16:31:59.6	     0.599	     0.990
03/08/2017	16:32:00.1	     0.599	     0.990
03/08/2017	16:32:00.6	     0.599	     0.991
03/08/2017	16:32:01.1	     0.599	     0.990
03/08/2017	16:32:01.6	     0.599	     0.909
03/08/2017	16:32:02.1	     0.599	     0.638
03/08/2017	16:32:02.6	     0.599	     0.686
03/08/2017	16:32:03.1	     0.599	     0.702
03/08/2017	16:32:03.6	     0.599	     0.703
03/08/2017	16:32:04.1	     0.599	     0.704
03/08/2017	16:32:04.6	     0.599	     0.707
03/08/2017	16:32:05.1	     0.599	     0.706
03/08/2017	16:32:05.6	     0.599	     0.712
03/08/2017	16:32:06.1	     0.599	     0.723
03/08/2017	16:32:06.6	     0.599	     0.720
03/08/2017	16:32:07.1	     0.599	     0.733
03/08/2017	16:32:07.6	     0.599	     0.762
03/08/2017	16:32:08.1	     0.599	     0.777
03/08/2017	16:32:08.6	     0.599	     0.791
03/08/2017	16:32:09.1	     0.599	     0.823
03/08/2017	16:32:09.6	     0.599	     0.829
03/08/2017	16:32:10.1	     0.599	     0.835
03/08/2017	16:32:10.6	     0.599	     0.821
03/08/2017	16:32:11.1	     0.599	     0.849
03/08/2017	16:32:11.6	     0.599	     0.837
03/08/2017	16:32:12.1	     0.599	     0.836
03/08/2017	16:32:12.6	     0.599	     0.817
03/08/2017	16:32:13.1	     0.599	     0.792
03/08/2017	16:32:13.6	     0.599	     0.761
03/08/2017	16:32:14.1	     0.599	     0.765
03/08/2017	16:32:14.6	     0.599	     0.771
03/08/2017	16:32:15.1	     0.599	     0.770
03/08/2017	16:32:15.6	     0.599	     0.788
03/08/2017	16:32:16.1	     0.599	     0.790
03/08/2017	16:32:16.6	     0.599	     0.803
03/08/2017	16:32:17.1	     0.599	     0.824
03/08/2017	16:32:17.6	     0.599	     0.835
03/08/2017	16:32:18.1	     0.599	     0.847
03/08/2017	16:32:18.6	     0.599	     0.861
03/08/2017	16:32:19.1	     0.599	     0.861
03/08/2017	16:32:19.6	     0.599	     0.865
03/08/2017	16:32:20.1	     0.599	     0.861
03/08/2017	16:32:20.6	     0.599	     0.896
03/08/2017	16:32:21.1	     0.599	     0.911
03/08/2017	16:32:21.6	     0.599	     0.949
03/08/2017	16:32:22.1	     0.599	     0.979
03/08/2017	16:32:22.6	     0.599	     0.988
03/08/2017	16:32:23.1	     0.599	     1.021
03/08/2017	16:32:23.6	     0.599	     1.035
03/08/2017	16:32:24.1	     0.599	     1.080
03/08/2017	16:32:24.6	     0.599	     1.126
03/08/2017	16:32:25.1	     0.599	     1.146
03/08/2017	16:32:25.6	     0.599	     1.160
03/08/2017	16:32:26.1	     0.599	     1.164
03/08/2017	16:32:26.6	     0.599	     1.169
03/08/2017	16:32:27.1	     0.599	     1.167
03/08/2017	16:32:27.6	     0.599	     1.174
03/08/2017	16:32:28.1	     0.599	     1.179
03/08/2017	16:32:28.6	     0.599	     1.188
03/08/2017	16:32:29.1	     0.599	     1.112
03/08/2017	16:32:29.6	     0.599	     1.057
03/08/2017	16:32:30.1	     0.599	     1.061
03/08/2017	16:32:30.6	     0.599	     1.119
03/08/2017	16:32:31.1	     0.599	     1.179
03/08/2017	16:32:31.6	     0.599	     1.190
03/08/2017	16:32:32.1	     0.599	     1.192
03/08/2017	16:32:32.6	     0.599	     1.195
03/08/2017	16:32:33.1	     0.599	     1.197
03/08/2017	16:32:33.6	     0.599	     1.197
03/08/2017	16:32:34.1	     0.599	     1.200
03/08/2017	16:32:34.6	     0.599	     1.203
03/08/2017	16:32:35.1	     0.599	     1.203
03/08/2017	16:32:35.6	     0.599	     1.205
03/08/2017	16:32:36.1	     0.599	     1.209
03/08/2017	16:32:36.6	     0.599	     1.212
03/08/2017	16:32:37.1	     0.599	     1.212
03/08/2017	16:32:37.6	     0.599	     1.212
03/08/2017	16:32:38.1	     0.599	     1.210
03/08/2017	16:32:38.6	     0.599	     1.212
03/08/2017	16:32:39.1	     0.599	     1.215
03/08/2017	16:32:39.6	     0.599	     1.218
03/08/2017	16:32:40.1	     0.599	     1.217
03/08/2017	16:32:40.6	     0.599	     1.216
03/08/2017	16:32:41.1	     0.599	     1.221
03/08/2017	16:32:41.6	     0.599	     1.222
03/08/2017	16:32:42.1	     0.599	     1.223
