VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	12:30:32	03/08/2017

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
03/08/2017	12:30:49.1	     0.598	     0.984
03/08/2017	12:30:49.6	     0.598	     0.996
03/08/2017	12:30:50.1	     0.598	     0.996
03/08/2017	12:30:50.6	     0.598	     0.995
03/08/2017	12:30:51.1	     0.597	     0.996
03/08/2017	12:30:51.6	     0.597	     0.996
03/08/2017	12:30:52.1	     0.597	     0.996
03/08/2017	12:30:52.6	     0.597	     0.996
03/08/2017	12:30:53.1	     0.597	     0.996
03/08/2017	12:30:53.6	     0.597	     0.996
03/08/2017	12:30:54.1	     0.597	     0.996
03/08/2017	12:30:54.6	     0.597	     0.996
03/08/2017	12:30:55.1	     0.597	     0.995
03/08/2017	12:30:55.6	     0.597	     0.993
03/08/2017	12:30:56.1	     0.597	     0.992
03/08/2017	12:30:56.6	     0.597	     0.993
03/08/2017	12:30:57.1	     0.597	     0.992
03/08/2017	12:30:57.6	     0.597	     0.993
03/08/2017	12:30:58.1	     0.598	     0.994
03/08/2017	12:30:58.6	     0.598	     0.994
03/08/2017	12:30:59.1	     0.598	     0.994
03/08/2017	12:30:59.6	     0.598	     0.993
03/08/2017	12:31:00.1	     0.598	     0.949
03/08/2017	12:31:00.6	     0.598	     0.817
03/08/2017	12:31:01.1	     0.598	     0.651
03/08/2017	12:31:01.6	     0.598	     0.642
03/08/2017	12:31:02.1	     0.598	     0.627
03/08/2017	12:31:02.6	     0.598	     0.619
03/08/2017	12:31:03.1	     0.598	     0.725
03/08/2017	12:31:03.6	     0.598	     0.734
03/08/2017	12:31:04.1	     0.598	     0.736
03/08/2017	12:31:04.6	     0.598	     0.741
03/08/2017	12:31:05.1	     0.598	     0.753
03/08/2017	12:31:05.6	     0.598	     0.778
03/08/2017	12:31:06.1	     0.598	     0.765
03/08/2017	12:31:06.6	     0.598	     0.789
03/08/2017	12:31:07.1	     0.598	     0.791
03/08/2017	12:31:07.6	     0.598	     0.818
03/08/2017	12:31:08.1	     0.598	     0.847
03/08/2017	12:31:08.6	     0.598	     0.838
03/08/2017	12:31:09.1	     0.598	     0.837
03/08/2017	12:31:09.6	     0.598	     0.838
03/08/2017	12:31:10.1	     0.598	     0.836
03/08/2017	12:31:10.6	     0.598	     0.843
03/08/2017	12:31:11.1	     0.598	     0.860
03/08/2017	12:31:11.6	     0.598	     0.876
03/08/2017	12:31:12.1	     0.598	     0.870
03/08/2017	12:31:12.6	     0.598	     0.835
03/08/2017	12:31:13.1	     0.598	     0.844
03/08/2017	12:31:13.6	     0.598	     0.848
03/08/2017	12:31:14.1	     0.598	     0.827
03/08/2017	12:31:14.6	     0.598	     0.835
03/08/2017	12:31:15.1	     0.598	     0.842
03/08/2017	12:31:15.6	     0.598	     0.822
03/08/2017	12:31:16.1	     0.598	     0.824
03/08/2017	12:31:16.6	     0.598	     0.879
03/08/2017	12:31:17.1	     0.598	     0.878
03/08/2017	12:31:17.6	     0.598	     0.883
03/08/2017	12:31:18.1	     0.598	     0.889
03/08/2017	12:31:18.6	     0.598	     0.894
03/08/2017	12:31:19.1	     0.598	     0.871
03/08/2017	12:31:19.6	     0.598	     0.892
03/08/2017	12:31:20.1	     0.598	     0.903
03/08/2017	12:31:20.6	     0.598	     0.900
03/08/2017	12:31:21.1	     0.598	     0.916
03/08/2017	12:31:21.6	     0.598	     0.930
03/08/2017	12:31:22.1	     0.598	     0.930
03/08/2017	12:31:22.6	     0.598	     0.934
03/08/2017	12:31:23.1	     0.598	     0.944
03/08/2017	12:31:23.6	     0.598	     0.948
03/08/2017	12:31:24.1	     0.598	     0.956
03/08/2017	12:31:24.6	     0.598	     0.964
03/08/2017	12:31:25.1	     0.598	     0.971
03/08/2017	12:31:25.6	     0.598	     0.976
03/08/2017	12:31:26.1	     0.598	     0.981
03/08/2017	12:31:26.6	     0.598	     0.993
03/08/2017	12:31:27.1	     0.598	     1.002
03/08/2017	12:31:27.6	     0.598	     1.009
